Emotion Lexemes,Emotion Family,Basic Emotions
disgruntled,disgruntlement,anger
disgruntlement,disgruntlement,anger
disgusts,disgust,disgust
disgusted,disgust,disgust
disgustingly,disgust,disgust
disgust,disgust,disgust
disgusting,disgust,disgust
disheartening,disheartenment,sadness
disheartens,disheartenment,sadness
dishearten,disheartenment,sadness
disheartened,disheartenment,sadness
disheartenment,disheartenment,sadness
disillusioned,disillusionment,sadness
disillusioning,disillusionment,sadness
disillusion,disillusionment,sadness
disillusions,disillusionment,sadness
disillusionment,disillusionment,sadness
dislikes,dislike,disgust
disliker,dislike,disgust
disliking,dislike,disgust
disliked,dislike,disgust
dislikable,dislike,disgust
dislike,dislike,disgust
dismally,dismalness,sadness
dismal,dismalness,sadness
dismalnesses,dismalness,sadness
dismalness,dismalness,sadness
dismaying,dismay,sadness
dismayed,dismay,sadness
dismays,dismay,sadness
dismay,dismay,sadness
disparaged,disparagement,disgust
disparages,disparagement,disgust
disparage,disparagement,disgust
disparaging,disparagement,disgust
disparagements,disparagement,disgust
disparagement,disparagement,disgust
dispiritedly,dispirited,sadness
dispiriting,dispirited,sadness
dispirits,dispirited,sadness
dispiritedness,dispirited,sadness
dispirited,dispirited,sadness
displeases,displeasure,anger
displeased,displeasure,anger
displeasure's,displeasure,anger
displeasing,displeasure,anger
displeasedly,displeasure,anger
displeasure,displeasure,anger
disquieting,disquiet,fear
disquiets,disquiet,fear
disquietude,disquiet,fear
disquieted,disquiet,fear
disquiet,disquiet,fear
dissatisfied,dissatisfaction,anger
dissatisfiedly,dissatisfaction,anger
dissatisfactions,dissatisfaction,anger
dissatisfies,dissatisfaction,anger
dissatisfaction,dissatisfaction,anger
dissatisfying,dissatisfaction,anger
distraught,distraught,sadness
distraughtness,distraught,sadness
distraughtly,distraught,sadness
distrustfully,distrustful,fear
distrustfulness,distrustful,fear
distrusting,distrustful,fear
distrusts,distrustful,fear
distrusted,distrustful,fear
distrust,distrustful,fear
distrustful,distrustful,fear
dolefully,dolefulness,sadness
doleful,dolefulness,sadness
dolefulest,dolefulness,sadness
dolefuler,dolefulness,sadness
dolefulness,dolefulness,sadness
dotingly,doting,enjoyment
dotes,doting,enjoyment
doting,doting,enjoyment
doted,doting,enjoyment
dote,doting,enjoyment
down,down,sadness
downheartedly,downhearted,sadness
downheartednesses,downhearted,sadness
downhearted,downhearted,sadness
downheartedness,downhearted,sadness
downtrodden,downtroddenness,sadness
downtroddenness,downtroddenness,sadness
dreadful,dread,fear
dreadfulness,dread,fear
dreadfully,dread,fear
dreaded,dread,fear
dreading,dread,fear
dreads,dread,fear
dread,dread,fear
dumbfounding,dumbfoundedness,surprise
dumbfound,dumbfoundedness,surprise
dumbfounded,dumbfoundedness,surprise
dumbfoundedly,dumbfoundedness,surprise
dumbfoundedness,dumbfoundedness,surprise
eager,eagerness,enjoyment
eagerness,eagerness,enjoyment
eagerly,eagerness,enjoyment
ebullience's,ebullience,enjoyment
ebulliently,ebullience,enjoyment
